,lat,long,people,weekend_mean,workdays_mean,day_mean,night_mean
155,"(55.666, 55.669]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
156,"(55.666, 55.669]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
157,"(55.666, 55.669]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
158,"(55.666, 55.669]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
159,"(55.666, 55.669]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
160,"(55.666, 55.669]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
161,"(55.666, 55.669]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
162,"(55.666, 55.669]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
163,"(55.666, 55.669]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
164,"(55.666, 55.669]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
165,"(55.666, 55.669]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
166,"(55.666, 55.669]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
167,"(55.666, 55.669]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0
168,"(55.666, 55.669]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0
169,"(55.666, 55.669]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0
170,"(55.666, 55.669]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0
171,"(55.666, 55.669]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0
172,"(55.666, 55.669]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0
173,"(55.666, 55.669]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0
174,"(55.666, 55.669]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0
175,"(55.666, 55.669]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0
176,"(55.666, 55.669]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0
177,"(55.666, 55.669]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0
178,"(55.666, 55.669]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0
179,"(55.666, 55.669]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0
180,"(55.669, 55.672]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0
181,"(55.669, 55.672]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0
182,"(55.669, 55.672]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0
183,"(55.669, 55.672]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0
184,"(55.669, 55.672]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0
185,"(55.669, 55.672]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0
186,"(55.669, 55.672]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0
187,"(55.669, 55.672]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0
188,"(55.669, 55.672]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0
189,"(55.669, 55.672]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0
190,"(55.669, 55.672]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0
191,"(55.669, 55.672]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
192,"(55.669, 55.672]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
193,"(55.669, 55.672]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
194,"(55.669, 55.672]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
195,"(55.669, 55.672]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
196,"(55.669, 55.672]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
197,"(55.669, 55.672]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
198,"(55.669, 55.672]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
199,"(55.669, 55.672]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
200,"(55.669, 55.672]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
201,"(55.669, 55.672]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
202,"(55.669, 55.672]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
203,"(55.669, 55.672]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0
204,"(55.669, 55.672]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0
205,"(55.669, 55.672]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0
206,"(55.669, 55.672]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0
207,"(55.669, 55.672]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0
208,"(55.669, 55.672]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0
209,"(55.669, 55.672]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0
210,"(55.669, 55.672]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0
211,"(55.669, 55.672]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0
212,"(55.669, 55.672]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0
213,"(55.669, 55.672]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0
214,"(55.669, 55.672]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0
215,"(55.669, 55.672]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0
216,"(55.672, 55.675]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0
217,"(55.672, 55.675]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0
218,"(55.672, 55.675]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0
219,"(55.672, 55.675]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0
220,"(55.672, 55.675]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0
221,"(55.672, 55.675]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0
222,"(55.672, 55.675]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0
223,"(55.672, 55.675]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0
224,"(55.672, 55.675]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0
225,"(55.672, 55.675]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0
226,"(55.672, 55.675]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0
227,"(55.672, 55.675]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
228,"(55.672, 55.675]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
229,"(55.672, 55.675]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
230,"(55.672, 55.675]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
231,"(55.672, 55.675]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
232,"(55.672, 55.675]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
233,"(55.672, 55.675]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
234,"(55.672, 55.675]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
235,"(55.672, 55.675]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
236,"(55.672, 55.675]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
237,"(55.672, 55.675]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
238,"(55.672, 55.675]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
239,"(55.672, 55.675]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0
240,"(55.672, 55.675]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0
241,"(55.672, 55.675]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0
242,"(55.672, 55.675]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0
243,"(55.672, 55.675]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0
244,"(55.672, 55.675]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0
245,"(55.672, 55.675]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0
246,"(55.672, 55.675]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0
247,"(55.672, 55.675]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0
248,"(55.672, 55.675]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0
249,"(55.672, 55.675]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0
250,"(55.672, 55.675]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0
251,"(55.672, 55.675]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0
252,"(55.675, 55.678]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0
253,"(55.675, 55.678]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0
254,"(55.675, 55.678]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0
255,"(55.675, 55.678]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0
256,"(55.675, 55.678]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0
257,"(55.675, 55.678]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0
258,"(55.675, 55.678]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0
259,"(55.675, 55.678]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0
260,"(55.675, 55.678]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0
261,"(55.675, 55.678]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0
262,"(55.675, 55.678]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0
263,"(55.675, 55.678]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
264,"(55.675, 55.678]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
265,"(55.675, 55.678]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
266,"(55.675, 55.678]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
267,"(55.675, 55.678]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
268,"(55.675, 55.678]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
269,"(55.675, 55.678]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
270,"(55.675, 55.678]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
271,"(55.675, 55.678]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
272,"(55.675, 55.678]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
273,"(55.675, 55.678]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
274,"(55.675, 55.678]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
275,"(55.675, 55.678]","(37.669, 37.676]",0.0,0.0,0.0,0.0,0.0
276,"(55.675, 55.678]","(37.676, 37.684]",0.0,0.0,0.0,0.0,0.0
277,"(55.675, 55.678]","(37.684, 37.691]",0.0,0.0,0.0,0.0,0.0
278,"(55.675, 55.678]","(37.691, 37.699]",0.0,0.0,0.0,0.0,0.0
279,"(55.675, 55.678]","(37.699, 37.706]",0.0,0.0,0.0,0.0,0.0
280,"(55.675, 55.678]","(37.706, 37.714]",0.0,0.0,0.0,0.0,0.0
281,"(55.675, 55.678]","(37.714, 37.722]",0.0,0.0,0.0,0.0,0.0
282,"(55.675, 55.678]","(37.722, 37.729]",0.0,0.0,0.0,0.0,0.0
283,"(55.675, 55.678]","(37.729, 37.737]",0.0,0.0,0.0,0.0,0.0
284,"(55.675, 55.678]","(37.737, 37.744]",0.0,0.0,0.0,0.0,0.0
285,"(55.675, 55.678]","(37.744, 37.752]",0.0,0.0,0.0,0.0,0.0
286,"(55.675, 55.678]","(37.752, 37.759]",0.0,0.0,0.0,0.0,0.0
287,"(55.675, 55.678]","(37.759, 37.767]",0.0,0.0,0.0,0.0,0.0
288,"(55.678, 55.68]","(37.495, 37.503]",0.0,0.0,0.0,0.0,0.0
289,"(55.678, 55.68]","(37.503, 37.51]",0.0,0.0,0.0,0.0,0.0
290,"(55.678, 55.68]","(37.51, 37.518]",0.0,0.0,0.0,0.0,0.0
291,"(55.678, 55.68]","(37.518, 37.526]",0.0,0.0,0.0,0.0,0.0
292,"(55.678, 55.68]","(37.526, 37.533]",0.0,0.0,0.0,0.0,0.0
293,"(55.678, 55.68]","(37.533, 37.541]",0.0,0.0,0.0,0.0,0.0
294,"(55.678, 55.68]","(37.541, 37.548]",0.0,0.0,0.0,0.0,0.0
295,"(55.678, 55.68]","(37.548, 37.556]",0.0,0.0,0.0,0.0,0.0
296,"(55.678, 55.68]","(37.556, 37.563]",0.0,0.0,0.0,0.0,0.0
297,"(55.678, 55.68]","(37.563, 37.571]",0.0,0.0,0.0,0.0,0.0
298,"(55.678, 55.68]","(37.571, 37.578]",0.0,0.0,0.0,0.0,0.0
299,"(55.678, 55.68]","(37.578, 37.586]",0.0,0.0,0.0,0.0,0.0
300,"(55.678, 55.68]","(37.586, 37.593]",0.0,0.0,0.0,0.0,0.0
301,"(55.678, 55.68]","(37.593, 37.601]",0.0,0.0,0.0,0.0,0.0
302,"(55.678, 55.68]","(37.601, 37.608]",0.0,0.0,0.0,0.0,0.0
303,"(55.678, 55.68]","(37.608, 37.616]",0.0,0.0,0.0,0.0,0.0
304,"(55.678, 55.68]","(37.616, 37.624]",0.0,0.0,0.0,0.0,0.0
305,"(55.678, 55.68]","(37.624, 37.631]",0.0,0.0,0.0,0.0,0.0
306,"(55.678, 55.68]","(37.631, 37.639]",0.0,0.0,0.0,0.0,0.0
307,"(55.678, 55.68]","(37.639, 37.646]",0.0,0.0,0.0,0.0,0.0
308,"(55.678, 55.68]","(37.646, 37.654]",0.0,0.0,0.0,0.0,0.0
309,"(55.678, 55.68]","(37.654, 37.661]",0.0,0.0,0.0,0.0,0.0
310,"(55.678, 55.68]","(37.661, 37.669]",0.0,0.0,0.0,0.0,0.0
